Session Title,Player Name,Minutes Played,Split Name,Tags,Distance (miles),Sprint Distance (yards),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
Concordia (Wis.),E,0,game,game,1.532,54.6597,6,303.7551,1,0,0,131.0709,12.8153,28.812,2.0391,12.124,0,0.1721,0.8855,0.4434,0.0311,0,4626.9,783.4,195.8,9.2,0,82,1,0,0,0,0,4,3,1,0,0.6076,0.1267,0.0344,0.006,0.0015,904.5,95.3,22.7,3.9,0.8,0.6059,0.126,0.0203,0.0032,0.0004,4461.1,106.8,16.6,3.2,0.4,0.278,0.4615,0.4128,0.2161,0.0938,0.0412,0.016,0.007,0.0032,0.0013,0.0011,4770.7,427,244,101.1,41.5,18.1,6.7,3.3,1.4,0.8,0.7,5615.2,0,0,0,0,0,103,42,12,2,0,87,43,11,5
Concordia (Wis.),S,84,game,game,5.6169,367.2867,43,1033.6839,2,0,0,392.2698,16.8617,105.6365,7.4419,44.3297,0,4.8353,0.3784,0.1946,0.1084,0.1003,5360.1,138.7,61.9,30.4,24.1,191,2,0,0,0,0,23,14,5,1,2.1335,0.4341,0.1326,0.0361,0.0129,2298.8,298,76.4,19.9,5.8,2.3583,0.4244,0.0744,0.01,0.0007,2539,313.6,55.2,7.9,0.6,0.9523,1.888,1.2763,0.7002,0.3563,0.2053,0.1046,0.056,0.0334,0.0141,0.0305,2408.8,1838.7,740.1,321.6,144.7,75.3,38.1,20.2,11.6,5.1,11,5615,0,0,0,0,0,268,123,26,5,0,218,118,52,23
Concordia (Wis.),U,34,game,game,1.9107,248.8936,21,342.6379,2,0,0,146.8447,16.6181,35.9341,2.5789,13.5451,0,0.2366,0.8957,0.637,0.13,0.0114,4478.2,827.7,268.7,38.2,2.5,42,2,0,0,0,0,11,4,5,1,0.7654,0.1397,0.0518,0.0109,0.0092,1320.6,99.7,28.9,6.2,4.5,0.721,0.179,0.0289,0.0048,0,3995.6,131.2,24.3,4.3,0,0.3691,0.4681,0.394,0.3051,0.1853,0.0863,0.0529,0.0274,0.0129,0.0064,0.0033,4656.5,453.4,227.2,134.7,71.6,33.8,19.4,10.4,4.5,2.4,1.4,5615.1,0,0,0,0,0,58,54,18,0,0,59,39,15,12
Concordia (Wis.),J,18,game,game,1.3506,89.3807,7,262.4318,0,0,0,128.3955,14.8932,25.4009,1.7858,10.3647,0,1.1432,0.1071,0.0495,0.0347,0.0161,5546.3,39.5,15.7,9.7,4,18,0,0,0,0,0,2,3,1,1,0.5454,0.1094,0.0328,0.0073,0.0011,1747.1,86.7,18.8,3.9,0.5,0.5245,0.1063,0.02,0.0032,0.0008,3653.7,85.6,15.2,3.2,0.5,0.2896,0.487,0.1841,0.1839,0.0964,0.0513,0.0295,0.0128,0.0083,0.0038,0.0037,4867.7,480.3,104.5,81.2,38.6,20.5,11.1,5.1,3.1,1.5,1.6,0,0,0,0,0,0,51,28,11,3,0,44,25,14,5
Concordia (Wis.),H,70,game,game,3.302,110.226,27,536.1326,0,0,0,276.1589,14.401,62.0999,4.366,25.0601,0,2.9393,0.1672,0.1329,0.0412,0.0214,5494.8,61.3,42.2,11.6,5.4,89,0,0,0,0,0,18,8,1,0,1.3663,0.2426,0.0657,0.0216,0.0055,2504.5,179.7,38.6,12.4,2.6,1.2913,0.2581,0.0437,0.0067,0.0005,2619.7,213.7,37.3,6.2,0.6,0.622,0.9275,0.9188,0.4218,0.207,0.101,0.0454,0.0253,0.015,0.0088,0.0091,3839.7,878.8,531.7,199.6,84.9,39.3,18,10.5,5.5,3.7,3.6,5615.1,0,0,0,0,0,149,88,20,1,0,137,60,35,12
Concordia (Wis.),Q,25,game,game,3.3892,146.2867,22,718.5011,4,0,0,256.1762,14.3265,63.7391,4.4614,25.1273,0,2.9861,0.2206,0.0994,0.0684,0.0147,5479.6,81.1,31.7,19.2,3.8,97,4,0,0,0,0,13,5,3,1,1.3613,0.2584,0.0665,0.0179,0.0069,1709,194.5,40.9,9.9,3.8,1.3658,0.2622,0.0462,0.0038,0.0002,3401,212.5,39.7,3.9,0.2,0.6478,1.0519,0.7665,0.4995,0.2311,0.1089,0.05,0.0192,0.0092,0.0033,0.0019,3722.2,1047.2,440.8,232.1,96,42.1,20.3,8.4,3.9,1.5,0.9,5615.2,0,0,0,0,0,162,86,16,2,0,146,74,29,14
Concordia (Wis.),C,90,game,game,6.6103,312.3886,45,1169.6233,1,0,0,524.992,15.4797,124.3191,8.803,56.3718,0,5.7807,0.4351,0.2171,0.1129,0.0646,5338.5,160.1,69,31.7,16.1,525,1,0,0,0,0,23,17,3,2,2.6724,0.5224,0.1123,0.0344,0.0102,2335.9,348.4,67.8,19.8,5.5,2.6491,0.4952,0.1,0.0128,0.0015,2384.7,363.1,76.4,12.3,1.5,0.7671,2.2381,1.7532,0.9535,0.4482,0.2318,0.0949,0.0552,0.0313,0.0237,0.0134,1679.9,2120.7,1010.2,443,185.4,88.1,37.9,22,12.7,9.8,5.7,5615.2,0,0,0,0,0,336,178,46,9,0,325,143,52,23
Concordia (Wis.),R,39,game,game,2.91,257.6917,23,495.9999,0,0,0,198.8972,16.7623,54.8539,3.8585,22.44,0,0.2928,1.4745,0.9963,0.1413,0.0051,3804.1,1312.7,444.2,40.4,1.1,41,0,0,0,0,0,13,6,4,0,1.1745,0.2129,0.0533,0.0169,0.0081,1301.9,157.3,34.2,9.5,3.7,1.1926,0.209,0.038,0.0044,0.0003,3895,166.2,29.9,4.5,0.3,0.4855,0.7047,0.9044,0.4421,0.1945,0.0868,0.0399,0.0219,0.017,0.0065,0.0065,4064.4,675,512.8,204.3,79.4,32.1,15,8.3,6.3,2.4,2.5,5602.4,0,0,0,0,0,138,64,11,4,0,118,57,23,13
Concordia (Wis.),K,90,game,game,5.3941,224.213,42,986.9681,0,0,0,377.1463,14.7987,101.4457,7.2101,38.5383,0,4.7981,0.3007,0.1679,0.0896,0.0378,5416.6,110.5,53.5,25.1,9.5,80,0,0,0,0,0,32,8,1,1,2.207,0.4197,0.1061,0.0361,0.0129,2465,291.5,60.5,18.3,6.2,2.0721,0.4316,0.0895,0.0161,0.0029,2371.6,320.8,65.6,13.1,2.6,1.1709,1.6067,1.2702,0.6522,0.3223,0.1688,0.083,0.0501,0.0278,0.0132,0.0291,2699.9,1584.6,736.8,308.1,135.7,67.7,33.1,20.6,10.9,5.3,12.5,5615.2,0,0,0,0,0,237,146,41,12,0,243,122,46,24
Concordia (Wis.),A,3,game,game,0.3938,38.7302,3,68.3167,0,0,0,93.2557,13.1633,7.4065,0.499,1.6402,0,0.1806,0.1111,0.0801,0.022,0,5467.8,107.4,33.5,6.6,0,2,0,0,0,0,0,1,0,2,0,0.1874,0.0257,0.0052,0.001,0,2288.9,19.8,4.1,0.7,0,0.1487,0.0179,0.0061,0.0013,0.0005,3277.3,17.7,5.3,1.1,0.4,0.201,0.0552,0.0476,0.0385,0.0314,0.0062,0.0082,0.0022,0.0014,0.0005,0.0015,5495.4,55.2,27.4,17.1,11.6,2.6,3.1,1.1,0.7,0.2,0.9,5615.3,0,0,0,0,0,11,7,4,2,0,12,8,4,0
