Session Title,Player Code,Minutes Played,Split Name,Tags,Distance (miles),Sprint Distance (yards),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration,Max Acceleration,Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Code,Minutes Played
Wittenberg,K,90,1st-Half A,game,1.9884,67.6671,17,364.8291,1,0,0,138.5293,13.7697,121.0921,8.6321,49.253,0,0,0,1.7108,0.1689,0.0702,0.0349,0.0035,1638.5,62.2,22.2,9.9,0.9,18,1,0,0,0,0,13,3,1,0,0.8165,0.1555,0.0371,0.0084,0.0036,733.5,106.4,21.8,4.7,2.1,0.7662,0.1677,0.0293,0.0033,0.0006,717.6,120.7,23.2,2.9,0.8,0.3057,0.5201,0.5426,0.3295,0.1607,0.0627,0.0335,0.0177,0.0089,0.0028,0.0041,653.6,503.3,308.4,148.5,66.1,26.7,12.8,7.2,3.8,1.3,2,1733.6,0,0,0,0,0,88,55,10,5,0,92,39,17,7,,,K,90
Wittenberg,L,90,1st-Half A,game,2.1,72.6288,20,370.7686,1,0,0,157.8927,13.6703,127.8872,9.3209,58.3953,0,0,0,1.7908,0.1623,0.1056,0.0397,0.0015,1628.9,59.6,33.5,11.3,0.4,61,1,0,0,0,0,13,5,1,1,0.8123,0.1939,0.0541,0.013,0.005,688.4,138,34,6.8,2.5,0.7891,0.1785,0.0445,0.0078,0.0018,676.6,141.8,36.8,7,1.8,0.2361,0.6707,0.5851,0.3016,0.164,0.0603,0.0345,0.0189,0.0115,0.0079,0.0094,492.9,628,346.2,141.9,63.9,24.7,15.1,8.2,5,3.4,4.4,1733.6,0,0,0,0,0,124,67,19,10,0,102,67,22,10,,,L,90
Wittenberg,H,25,1st-Half A,game,1.7539,143.5002,9,285.0858,0,0,0,124.5037,16.9711,106.8736,7.5201,44.1996,0,0,0,1.5323,0.1075,0.0325,0.0301,0.0515,1663.1,39.4,10.4,8.4,12.2,36,0,0,0,0,0,5,1,1,2,0.7227,0.1186,0.0336,0.0133,0.005,742.8,92.4,19.8,6.9,2.2,0.7101,0.119,0.0269,0.0045,0.0002,744.3,97.4,24,3.6,0.1,0.2995,0.5581,0.4538,0.2118,0.0899,0.0606,0.0382,0.0213,0.0083,0.0068,0.0056,752.7,528.8,265.7,98.3,38.7,22.1,12.1,7.5,3.1,2.4,2.1,1733.5,0,0,0,0,0,78,49,15,1,0,82,29,18,8,,,H,25
Wittenberg,V,90,1st-Half A,game,2.1698,54.8599,13,396.1563,0,0,0,170.5059,14.1475,132.1388,9.5138,59.7312,0,0,0,1.9185,0.1408,0.0794,0.0248,0.0063,1648,51.7,25.3,7,1.6,119,0,0,0,0,0,7,4,1,1,0.8357,0.2007,0.0506,0.0113,0.002,671.7,136.8,31.1,6.2,1.1,0.8447,0.1803,0.0389,0.0055,0.0002,711.9,136.8,32.6,5.2,0.2,0.2385,0.6731,0.6226,0.3506,0.1517,0.0721,0.0305,0.0161,0.0085,0.0033,0.0026,451.9,636.4,360.1,164,63.9,29.8,13.3,7.6,3.8,1.5,1.3,1733.5,0,0,0,0,0,115,85,18,4,0,114,76,24,5,,,V,90
Wittenberg,M,90,1st-Half A,game,1.8179,152.1102,10,286.4598,0,0,0,135.232,16.8368,110.7122,7.8118,43.6177,0,0,0,0.2025,0.9755,0.5535,0.0768,0.0097,578.5,879.5,251.8,21.8,2.1,63,0,0,0,0,0,5,3,2,0,0.7273,0.1418,0.0332,0.0106,0.0032,725.7,105.2,21.2,5.4,1.8,0.7336,0.1428,0.0213,0.004,0.0002,736.8,117.8,16.5,3.1,0.2,0.3419,0.4653,0.5373,0.2503,0.1141,0.0468,0.0292,0.0124,0.0084,0.0046,0.0077,766.9,450.9,306.7,121,47.5,18.4,10.4,4.3,3,1.7,2.9,1733.6,0,0,0,0,0,98,34,9,2,0,80,36,11,7,,,M,90
Wittenberg,C,0,1st-Half A,game,0.021,0,0,3.093,0,0,0,6.2818,2.6943,1.277,0.0754,0,0,0,0,0.021,0,0,0,0,1733.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109,0.0002,0,0,0,163.6,0.5,0,0,0,0.0098,0.0001,0,0,0,1568.7,0.9,0,0,0,0.0205,0.0005,0,0,0,0,0,0,0,0,0,1733.1,0.6,0,0,0,0,0,0,0,0,0,1733.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,C,0
Wittenberg,O,0,1st-Half A,game,0.0435,0,0,5.0998,0,0,0,21.571,2.3761,2.6473,0.1519,0,0,0,0,0.0411,0.0023,0,0,0,1730.2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226,0.0003,0,0,0,611.2,0.8,0,0,0,0.0206,0,0,0,0,1121.6,0.1,0,0,0,0.0435,0,0,0,0,0,0,0,0,0,0,1733.7,0,0,0,0,0,0,0,0,0,0,1733.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,O,0
Wittenberg,J,11,1st-Half A,game,0.0261,0,0,4.2404,0,0,0,9.2479,2.9428,1.5887,0.0935,0,0,0,0,0.0261,0,0,0,0,1733.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128,0.0004,0,0,0,248.9,1.2,0,0,0,0.0127,0.0002,0,0,0,1482.4,1.1,0,0,0,0.0254,0.0007,0,0,0,0,0,0,0,0,0,1732.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,J,11
Wittenberg,Z,0,1st-Half A,game,0.0405,0,0,5.4164,0,0,0,13.8161,2.4656,2.4689,0.1429,0,0,0,0,0.0405,0,0,0,0,1733.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218,0.0001,0,0,0,401.8,0.5,0,0,0,0.0185,0.0001,0,0,0,1331.1,0.3,0,0,0,0.0405,0,0,0,0,0,0,0,0,0,0,1733.7,0,0,0,0,0,0,0,0,0,0,1733.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Z,0
Wittenberg,R,90,1st-Half A,game,2.0074,124.7853,15,348.5033,0,0,0,126.259,14.2966,122.253,8.7612,51.9928,0,0,0,0.156,1.1197,0.6609,0.0709,0,411.8,1007.4,293.4,21.1,0,26,0,0,0,0,0,10,2,3,0,0.7839,0.1501,0.046,0.0171,0.0082,691.1,113.1,29.2,9.2,3.9,0.797,0.1681,0.0296,0.006,0.0014,721.2,135.6,23.2,5.8,1.4,0.293,0.5716,0.5975,0.3014,0.1336,0.0456,0.0268,0.0149,0.0108,0.0061,0.006,594.3,554.3,342.8,139.5,55.4,19,11.6,6.4,4.4,2.7,3.3,1733.6,0,0,0,0,0,112,37,17,7,0,72,65,17,14,,,R,90
Wittenberg,U,41,1st-Half A,game,1.4972,99.2812,20,245.2185,2,0,0,90.4843,17.2295,118.1637,8.6667,46.5949,0,0,0,1.224,0.1402,0.0765,0.0389,0.0175,1247,51.4,24.3,11,4,22,2,0,0,0,0,17,2,1,0,0.5458,0.1122,0.0441,0.0218,0.01,537.7,70.8,25.4,11.7,4.8,0.5961,0.1267,0.0336,0.0063,0.0006,574.8,85.5,21.3,5.2,0.5,0.2391,0.4222,0.2968,0.2428,0.1499,0.063,0.0357,0.0158,0.0125,0.0068,0.0125,517.7,426.4,168.4,108.7,59,25.4,13.5,6.4,4.6,2.8,4.8,1337.7,0,0,0,0,0,56,36,16,2,0,40,27,21,19,,,U,41
Wittenberg,G,44,1st-Half A,game,0.04,0,0,5.4172,0,0,0,24.3271,2.7341,2.4359,0.1406,0,0,0,0,0.04,0,0,0,0,1733.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209,0,0,0,0,698.3,0.1,0,0,0,0.0189,0.0002,0,0,0,1034.5,0.8,0,0,0,0.0395,0.0005,0,0,0,0,0,0,0,0,0,1733.1,0.6,0,0,0,0,0,0,0,0,0,1733.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,G,44
Wittenberg,S,90,1st-Half A,game,1.9685,90.5914,15,373.9174,0,0,0,138.6252,14.4756,119.881,8.7189,50.5739,0,0,0,1.6619,0.1575,0.0976,0.0385,0.013,1630.3,58.1,31.1,10.9,3.3,84,0,0,0,0,0,9,2,4,0,0.7327,0.1868,0.0507,0.0137,0.0051,680.1,125.3,29.2,7.5,2.6,0.7695,0.159,0.0413,0.009,0.0006,735.1,116.6,29.2,7.4,0.7,0.2918,0.5742,0.4847,0.3012,0.151,0.074,0.0378,0.0193,0.0147,0.009,0.0107,633.8,557.9,278.4,135.6,59.3,30.9,15.4,7.9,6.2,3.5,4.8,1733.6,0,0,0,0,0,80,55,23,4,0,93,62,22,9,,,S,90
Wittenberg,A,0,1st-Half A,game,0.0502,0,0,7.4354,0,0,0,27.6054,2.9826,3.0584,0.1759,0.0115,0,0,0,0.0464,0.0038,0,0,0,1728.7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271,0.0003,0,0,0,774.6,0.7,0,0,0,0.0227,0.0001,0,0,0,957.3,1,0.1,0,0,0.0488,0.0014,0,0,0,0,0,0,0,0,0,1732,1.7,0,0,0,0,0,0,0,0,0,1733.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,A,0
Wittenberg,I,84,1st-Half A,game,1.9453,160.3353,20,287.0318,0,0,0,138.1314,15.4599,118.4657,8.5525,47.2254,0,0,0,1.6124,0.1515,0.0903,0.0609,0.0302,1624.8,55.4,28.7,17.1,7.6,25,0,0,0,0,0,12,4,3,1,0.7658,0.1638,0.0543,0.0111,0.0025,737.8,105.3,29.6,5.6,1.1,0.7367,0.162,0.0437,0.0044,0.001,703.8,113.6,31.5,4.1,1.2,0.352,0.5173,0.4663,0.2676,0.1407,0.0913,0.0494,0.0312,0.0175,0.0067,0.005,725.5,480.9,273.8,121.7,54.9,34.4,18.1,12.1,6.9,2.8,2.5,1733.7,0,0,0,0,0,88,56,13,5,0,85,48,16,5,,,I,84
Wittenberg,Q,90,1st-Half A,game,2.0415,31.1821,14,438.4306,1,0,0,149.6388,12.6363,124.3287,8.8175,52.7427,0,0,0,1.793,0.1584,0.0724,0.0177,0,1647.1,58.5,23,5.1,0,60,1,0,0,0,0,11,3,0,0,0.8031,0.155,0.0517,0.0116,0.003,699.9,109.6,32.8,6.7,1.4,0.8212,0.1601,0.0318,0.0038,0.0002,730.2,122.1,27,3.8,0.2,0.2972,0.5761,0.5729,0.3375,0.1557,0.062,0.0234,0.0088,0.0041,0.0024,0.0014,581.3,554.6,331.6,155.6,65.4,26.5,10.5,4.1,2.1,1.3,0.7,1733.6,0,0,0,0,0,93,62,18,1,0,90,65,18,8,,,Q,90
Wittenberg,B,0,1st-Half A,game,0.0372,0,0,5.6128,0,0,0,8.9201,2.9329,2.2658,0.1368,0.0173,0,0,0,0.0333,0.004,0,0,0,1728.1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186,0.0016,0.0003,0,0,215.3,3.4,0.5,0,0,0.0159,0.0008,0,0,0,1510,4.1,0.3,0,0,0.0358,0.0014,0,0,0,0,0,0,0,0,0,1731.6,2,0,0,0,0,0,0,0,0,0,1733.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B,0
Wittenberg,P,65,1st-Half A,game,0.3327,31.3921,3,60.2893,0,0,0,21.1091,16.0862,20.259,1.4265,8.2944,0,0,0,0.2601,0.0326,0.0221,0.0071,0.0107,1710.2,11.9,7.1,2,2.5,4,0,0,0,0,0,0,3,0,0,0.1374,0.0191,0.0065,0.0035,0.0012,138.6,14,4.1,1.7,0.6,0.1359,0.0241,0.0044,0.0006,0,1551.4,18.9,3.8,0.6,0,0.0439,0.1112,0.0607,0.0545,0.0306,0.0142,0.0087,0.0041,0.002,0.0003,0.0024,1541,110.7,35.3,23.7,12.5,4.8,2.9,1.4,0.6,0.1,0.7,1732.5,0,0,0,0,0,11,9,2,0,0,9,4,1,3,,,P,65
Wittenberg,X,90,1st-Half A,game,0.7919,0,0,146.2444,0,0,0,48.1935,9.5046,48.2272,2.9784,5.4969,0,0,0,0.391,0.3779,0.0231,0,0,1255.9,467,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4032,0.0177,0.0015,0.0009,0.0001,855.3,24.1,1.4,0.6,0.1,0.3498,0.0166,0.0018,0.0002,0,821.3,28.6,2,0.3,0,0.6069,0.1296,0.0398,0.0107,0.0025,0.0021,0.0003,0.0001,0,0,0,1565.5,134.5,25.1,5.6,1.5,1.2,0.2,0.1,0,0,0,1733.6,0,0,0,0,0,17,6,1,0,0,17,3,1,1,,,X,90
Wittenberg,N,0,1st-Half A,game,0.0427,0,0,7.155,0,0,0,15.8551,2.7639,2.5989,0.1515,0.0058,0,0,0,0.0427,0,0,0,0,1733.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231,0.0007,0.0001,0,0,438.8,2,0.2,0,0,0.0183,0.0003,0,0,0,1290.3,2.2,0.2,0,0,0.0422,0.0005,0,0,0,0,0,0,0,0,0,1733,0.7,0,0,0,0,0,0,0,0,0,1733.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,N,0
