Session Title,Player Name,Minutes Played,Split Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
OWU,O,0,game,0.1535,O,0,O,0,18.1199,0,0,0,69.4042,O,3.0323,2.9224,0.1687,0,0,0,0,0.1431,0.0104,0,0,0,5532.2,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823,0.0022,0,0,0,1969.2,5.5,0,0,0,0.0682,0.0007,0,0,0,3568.3,4.1,0,0,0,0.1521,0.0015,0,0,0,0,0,0,0,0,0,5545.2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,O
OWU,A,0,game,0.1513,A,0,A,0,22.2237,0,0,0,83.8254,A,2.8931,2.8808,0.1643,0.0036,0,0,0,0.1485,0.0028,0,0,0,5543.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827,0.0014,0,0,0,2372.4,3.3,0,0,0,0.0667,0.0004,0.0001,0,0,3167.7,3.3,0.4,0,0,0.1507,0.0006,0,0,0,0,0,0,0,0,0,5546.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A
OWU,J,32,game,2.4101,J,85.5859,J,19,471.209,0,0,0,181.4273,J,14.4557,45.8826,3.2458,20.3274,0,5.1758,5.08,2.1195,0.1541,0.088,0.0375,0.0111,5449.1,56.7,28,10.6,2.8,27,0,0,0,0,0,11,8,0,0,0.9998,0.1769,0.0519,0.0177,0.0056,1633,135.2,31.2,9.5,2.7,0.9268,0.1881,0.0343,0.0084,0.0007,3548.9,151.1,27.5,7.3,0.8,0.3911,0.8712,0.5204,0.3117,0.1604,0.0725,0.0386,0.0185,0.0119,0.0069,0.007,4141.3,832.8,301.1,142.3,65.3,29.9,16,7.3,5,3,3.2,0,0,0,0,0,0,127,54,19,5,0,94,48,25,13,38,38,J
OWU,Q,67,game,4.7929,Q,93.5233,Q,26,1011.3102,4,0,0,359.6449,Q,13.7697,91.2431,6.3567,35.6775,0,6,4.2334,4.2186,0.3769,0.1442,0.0489,0.0042,5347.1,139,46.1,13.9,1.1,113,4,0,0,0,0,13,10,2,1,1.9574,0.3427,0.0853,0.0271,0.0101,2083.8,239.8,52.1,16.4,5.6,1.9552,0.3616,0.049,0.0043,0.0001,2823.1,281.4,40.5,4.3,0.2,0.9136,1.2437,1.2547,0.8305,0.3354,0.1214,0.0576,0.0202,0.0093,0.0045,0.0019,3006.1,1219.4,712.9,377.6,141,50.6,23.8,8.9,4.2,1.9,0.8,0,0,0,0,0,0,214,106,21,1,0,190,93,41,24,65,65,Q
OWU,B ,17,game,1.3648,B ,141.3917,B ,12,240.5307,1,0,0,107.663,B ,13.7598,25.9822,1.8326,9.8195,0,6,4.4704,0.1818,0.6685,0.4341,0.0803,0,4713.5,625.3,184.7,23.6,0,33,1,0,0,0,0,9,1,1,1,0.5531,0.0964,0.025,0.0089,0.0059,1125.5,68.3,14.3,4.7,3.1,0.5494,0.1048,0.0181,0.0027,0.0004,4227.2,85.5,15.1,2.9,0.5,0.2867,0.3478,0.2973,0.2093,0.1236,0.0475,0.0268,0.0113,0.0071,0.0031,0.0044,4854.3,342.5,171.2,92.8,47.4,18.3,10.2,4.6,2.5,1.4,1.9,0,0,0,0,0,0,53,29,7,2,0,41,23,8,10,18,18,B 
OWU,G,42,game,2.5185,G,189.5653,G,27,422.5878,0,0,0,200.2726,G,17.5576,47.9464,3.4274,17.3875,0,6,4.3067,2.1054,0.1991,0.1064,0.0512,0.0565,5412.7,72.9,34,14.3,13.2,49,0,0,0,0,0,17,7,2,1,1.0049,0.2044,0.0565,0.017,0.0062,2216.9,149.8,31.7,8.7,3,0.9638,0.2103,0.0478,0.0067,0.0008,2927.2,167,35.7,6.4,0.7,0.5941,0.7496,0.4394,0.3169,0.1735,0.0948,0.0639,0.0389,0.0236,0.0104,0.0133,4235.4,753.4,256.8,141.5,69.1,36.5,23.2,14.1,8.3,3.6,5.2,0,0,0,0,0,0,93,68,19,3,0,98,53,20,15,35,35,G
OWU,I,48,game,3.8549,I,354.1054,I,38,563.0843,1,0,0,279.9596,I,15.9967,73.3868,5.2435,28.3391,0,5.3289,4.9423,3.0757,0.3658,0.2122,0.1525,0.0487,5289.8,134.9,67.5,42.7,12.2,67,1,0,0,0,0,13,17,5,3,1.5407,0.2987,0.0789,0.0299,0.0083,1518.4,196.6,42.2,15.4,4.3,1.5167,0.3172,0.0569,0.0063,0.0013,3498.1,220.4,44.4,5.9,1.4,0.6927,0.9083,0.8533,0.6513,0.3678,0.1974,0.0962,0.0537,0.0195,0.0073,0.0073,3640.3,847.1,487.6,288.8,139.8,73.3,35.5,20.6,7.6,3.1,3.4,0,0,0,0,0,0,149,96,19,8,0,149,64,26,22,48,48,I
OWU,Z,0,game,0.2394,Z,0,Z,0,32.5113,0,0,0,63.1677,Z,4.7821,4.5566,0.268,0.018,0,0,0,0.2394,0,0,0,0,5547.2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.128,0.0048,0.0003,0.0002,0,1751,10.4,0.4,0.2,0,0.1041,0.0017,0.0002,0,0,3777.8,7.1,0.3,0,0,0.2325,0.0065,0.0002,0.0002,0,0,0,0,0,0,0,5538.5,8.4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,,Z
OWU,C,90,game,6.2563,C,49.0823,C,26,1105.7095,2,0,0,520.4918,C,14.0183,119.1024,8.4245,53.7506,0,5.4297,5.2566,5.7237,0.384,0.1207,0.0244,0.0035,5358.9,141.7,38.7,6.9,0.9,453,2,0,0,0,0,21,3,1,1,2.6061,0.465,0.102,0.0359,0.013,2386,334.3,65.1,18.8,6.2,2.4521,0.4696,0.0938,0.0164,0.0024,2281.9,363.2,74.9,14.1,2.6,0.8417,2.0061,1.8486,0.944,0.3294,0.1432,0.0652,0.0323,0.0145,0.0145,0.0167,1896.9,1864.4,1066.2,442.9,147.5,63.1,29.4,14.9,6.9,6.7,8.2,0,0,0,0,0,0,344,161,45,13,0,352,149,44,28,72,72,C
OWU,N,0,game,0.1147,N,0,N,0,19.0553,0,0,0,44.6353,N,2.8235,2.1842,0.1261,0,0,0,0,0.1147,0,0,0,0,5547.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0648,0.0006,0,0,0,1295.9,1.7,0,0,0,0.0491,0.0003,0,0,0,4246.7,2.8,0,0,0,0.1139,0.0009,0,0,0,0,0,0,0,0,0,5546,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,N
