Session Title,Player Name,Minutes Played,Split Name,Duration,Player Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
Kenyon,H,62,game,5536,H,4.3338,H,242,H,31,712.9886,0,0,0,319.7543,H,16,82.6685,5.8887,33.7976,0,6,5.1815,3.8301,0.2199,0.1465,0.0768,0.0606,5372,81.2,46.5,21.5,15,93,0,0,0,0,0,18,9,3,1,1.8012,0.3147,0.0927,0.0304,0.0128,2252.5,238.8,57.7,17,6.1,1.6471,0.3427,0.0783,0.0129,0.001,2610,278.2,63.9,11,1,0.7466,1.2559,1.2223,0.5437,0.2517,0.1458,0.0587,0.0427,0.0263,0.0193,0.0209,3149.2,1194.2,709.3,258.5,105.7,54.5,22.8,15.7,10.1,7.6,8.6,5536.1,0,0,0,0,0,194,126,24,11,0,188,90,47,21,68,68,H
Kenyon,S,90,game,5536,S,5.9037,S,312,S,47,1099.5741,1,0,0,402.817,S,15.3,112.6144,8.0292,47.4134,0,5.9334,5.4334,5.1352,0.3676,0.2236,0.1426,0.0347,5281.4,134.9,71.2,40,8.7,249,1,0,0,0,0,30,9,7,1,2.3115,0.4565,0.1422,0.0402,0.0121,2284.5,319.3,85,22.6,6.1,2.3895,0.4247,0.1004,0.0218,0.0047,2402.2,319.4,73.9,18.5,4.7,0.9946,2.0281,1.3018,0.7465,0.388,0.1938,0.092,0.0685,0.0358,0.026,0.0285,2124.8,1991.2,746.1,340.5,154.5,76.3,36.8,27.1,14.8,10.7,13.4,5536.1,0,0,0,0,0,243,135,49,21,0,255,140,54,26,80,80,S
Kenyon,N,13,game,5536,N,1.2442,N,78,N,10,254.8174,0,0,0,121.5899,N,14.8,23.7341,1.6893,8.1626,0,4.4,3.8707,1.04,0.0893,0.0707,0.0345,0.0096,5468.8,32.7,22.5,9.8,2.4,30,0,0,0,0,0,3,4,2,1,0.5401,0.1086,0.0234,0.004,0.001,1463.4,85.8,14.1,2.4,0.6,0.4306,0.1092,0.0238,0.0035,0.0001,3847.3,100.2,19.2,3.1,0.1,0.3342,0.2789,0.254,0.1632,0.1106,0.0545,0.0194,0.0156,0.0056,0.0029,0.0053,4960.3,272.9,145.1,73.8,43.8,21.3,7.7,6,1.9,1.2,2.2,5536.1,0,0,0,0,0,50,37,13,0,0,50,34,4,3,7,7,N
Kenyon,K ,90,game,5536,K ,4.7999,K ,231,K ,33,866.9206,0,0,0,318.6687,K ,14.6,91.5586,6.4234,30.6179,0,5.2934,5.0045,4.274,0.2414,0.1534,0.1016,0.0295,5363,88.6,48.7,28.5,7.5,51,0,0,0,0,0,21,9,3,0,2.0773,0.3591,0.0843,0.0232,0.0028,2577.5,243.9,50.5,12.5,1.8,1.7904,0.3687,0.0793,0.0127,0.002,2286.2,288.7,62.5,11,1.7,1.3817,1.2594,1.0113,0.5217,0.3136,0.1507,0.0681,0.0423,0.0262,0.0118,0.0132,3211.6,1233,590.2,246.1,129,58.6,28,17.8,11,4.8,6.2,5536.1,0,0,0,0,0,196,124,34,10,0,201,100,35,10,45,45,K 
Kenyon,F,59,game,3662,F,1.8833,F,2,F,0,334.3195,0,0,0,121.2065,F,11.8,54.308,3.4881,10.0046,0,5.2445,4.6829,1.8446,0.0315,0.0061,0.001,0,3648.5,11.5,2,0.3,0,25,0,0,0,0,0,0,0,0,0,0.9218,0.073,0.0099,0.0031,0.0023,1777.8,80.1,8.5,2.2,1.3,0.7922,0.0678,0.0107,0.0022,0.0003,1677.8,100.1,11.9,2.3,0.3,1.0943,0.5035,0.1685,0.0796,0.0213,0.0078,0.004,0.0009,0.0006,0.0009,0.002,2968.5,529.4,106.5,38.7,10.7,4.1,2.1,0.6,0.3,0.4,1,3662.3,0,0,0,0,0,62,23,8,1,0,67,16,4,6,10,10,F
Kenyon,E,0,game,5536,E,0.0349,E,0,E,0,5.7607,0,0,0,11.2213,E,2.1,0.665,0.0392,0,0,0,0,0.0337,0.0012,0,0,0,5534.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.0009,0.0001,0,0,316.5,2.3,0.1,0,0,0.0144,0.0005,0,0,0,5213.4,3.9,0,0,0,0.0347,0.0002,0,0,0,0,0,0,0,0,0,5535.9,0.3,0,0,0,0,0,0,0,0,0,5536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,E
Kenyon,Z,18,game,5536,Z,1.816,Z,21,Z,15,299.6714,0,0,0,184.5693,Z,13.4,34.6396,2.4753,13.8256,0,5.8297,4.4267,1.5434,0.1804,0.0803,0.0095,0.0023,5440.7,66.2,25.9,2.7,0.6,47,0,0,0,0,0,8,6,0,1,0.7357,0.1431,0.0472,0.0101,0.0045,2013.6,108.2,30.1,6.1,2.3,0.6806,0.1621,0.0299,0.0028,0.0001,3210.1,134.7,27.7,3.2,0.1,0.3618,0.4027,0.4498,0.3406,0.1569,0.0574,0.028,0.0122,0.0031,0.0026,0.0009,4643.2,368.4,259.4,153.6,65.9,25.4,12.1,5.3,1.2,1.1,0.5,5536.1,0,0,0,0,0,98,69,10,1,0,74,65,21,9,30,30,Z
Kenyon,R,90,game,5536,R,6.1884,R,552,R,52,1052.6115,0,0,0,370.9805,R,16.5,118.0448,8.2869,48.6823,0,6,5.4312,0.4989,3.3092,2.0665,0.3076,0.0063,1482.6,3075.6,889,87.5,1.4,68,0,0,0,0,0,30,17,5,0,2.6587,0.3973,0.1158,0.0395,0.0128,2447.5,284.7,70.1,21.3,6.8,2.398,0.4833,0.0693,0.0119,0.0019,2253.9,380.3,58.8,11.1,1.6,0.9618,1.8361,1.4812,1.0281,0.456,0.2254,0.0914,0.0558,0.0265,0.0125,0.0136,2104.1,1782.1,846.5,457.6,185.9,85.5,33.6,20.6,9.6,4.7,5.9,5536.1,0,0,0,0,0,287,129,33,7,0,224,119,60,24,84,84,R
Kenyon,X,31,game,5536,X,0.8943,X,1,X,0,172.4923,0,0,0,108.0679,X,10.8,17.0583,1.1001,2.8539,0,5.3697,5.2445,0.3864,0.4297,0.0775,0.0006,0,5016.1,484.8,35.2,0.2,0,2,0,0,0,0,0,0,0,0,0,0.4263,0.04,0.0093,0.0017,0.0008,2305,47.5,6.9,1.1,0.4,0.376,0.0315,0.007,0.0013,0.0003,3112,54.3,6.8,1.9,0.4,0.5688,0.177,0.0916,0.035,0.0129,0.0028,0.0021,0.0013,0.0008,0.0002,0.0017,5268.7,183.3,55.2,17.8,6.3,1.8,1.1,0.6,0.5,0.1,0.9,5536.1,0,0,0,0,0,27,13,4,1,0,22,10,5,1,6,6,X
Kenyon,C,90,game,5536,C,6.8826,C,208,C,44,1227.0408,7,0,0,554.9373,C,15.9,131.2876,9.3671,60.3941,0,6,4.3156,6.0711,0.4873,0.2063,0.082,0.0359,5258.4,179.9,65.9,23.2,8.9,528,7,0,0,0,0,30,9,5,0,2.8073,0.5471,0.1212,0.0338,0.0124,2325.8,370.8,72.8,20.1,6.2,2.6724,0.567,0.1024,0.0184,0.0006,2233.4,412.8,78,15.7,0.7,0.6999,2.2349,1.9177,1.1164,0.4781,0.2098,0.1056,0.0563,0.026,0.016,0.022,1446.3,2092.9,1097.1,517,202.9,86.4,43.8,22.1,11,7.1,9.7,5536.1,0,0,0,0,0,334,212,56,5,0,370,156,61,23,84,84,C
