Session Title,Player Name,Minutes Played,Split Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
Wooster,R,90,game,5.889,R,576,R,40,991.1499,0,0,0,366.0487,R,16.3,110.8524,7.7008,45.1369,0,6,5.3645,0.5453,3.2867,1.7299,0.3197,0.0076,1720.2,3038.1,757.4,92.2,1.7,76,0,0,0,0,0,16,15,6,4,2.5277,0.3639,0.1034,0.0329,0.009,2448.3,269.8,64.9,18.5,4.5,2.37,0.4023,0.0676,0.0108,0.0014,2412.1,325.7,54.9,9.7,1.2,1.0395,1.745,1.5255,0.8323,0.3858,0.1736,0.0832,0.0484,0.026,0.0137,0.0161,2392.2,1673.4,882.1,377.6,151,63.3,30.1,17.6,9.6,5.6,7.1,5609.4,0,0,0,0,0,266,119,28,6,0,224,110,42,21,63,63,R
Wooster,C,90,game,6.2874,C,157,C,29,1115.9665,5,0,0,508.2351,C,14.9,118.3714,8.4082,51.7025,0,5.8556,5.2519,5.6155,0.4093,0.173,0.0729,0.0166,5378.6,150.8,55.2,20.6,4.2,498,5,0,0,0,0,18,7,3,2,2.6148,0.4589,0.117,0.0405,0.0109,2410.1,325.9,70.4,23.1,6.3,2.4479,0.4784,0.0994,0.0166,0.003,2307.3,367.2,80.1,15.9,3.1,0.8608,1.9025,1.8074,0.9602,0.4088,0.1736,0.0779,0.0426,0.0235,0.0108,0.0191,2008.8,1798.9,1031,446.2,173.7,74.6,33.5,17.7,10.8,5,9.2,5609.2,0,0,0,0,0,322,173,49,15,0,313,136,58,28,86,86,C
Wooster,I,28,game,3.7777,I,390,I,40,552.9743,0,0,0,273.4622,I,15.3,71.1231,5.0921,27.2787,0,6,4.7037,3.0198,0.3323,0.2043,0.1181,0.1033,5363.8,121.8,65.2,33,25.7,73,0,0,0,0,0,19,11,5,5,1.5041,0.3133,0.0703,0.0253,0.0106,1560.9,199.2,39.6,13.9,4.7,1.4794,0.3009,0.0633,0.0098,0.0007,3512.1,217.9,51.4,9.1,0.7,0.6801,0.9334,0.852,0.5717,0.3185,0.2265,0.0998,0.0545,0.0232,0.0097,0.0083,3699.2,883.9,495.2,254.5,125.7,78.5,35.6,19.8,8.6,4.5,4,5609.4,0,0,0,0,0,159,100,28,8,0,166,66,40,15,55,55,I
Wooster,E,0,game,0.0411,E,0,E,0,6.8021,0,0,0,9.2821,E,2.6,0.7737,0.0457,0.0018,0,0,0,0.0375,0.0036,0,0,0,5604.3,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228,0.0012,0.0001,0,0,253.7,2.7,0.1,0,0,0.0167,0.0003,0,0,0,5351.4,1.5,0,0,0,0.0407,0.0004,0,0,0,0,0,0,0,0,0,5608.9,0.5,0,0,0,0,0,0,0,0,0,5609.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,E
Wooster,L,90,game,5.5043,L,226,L,38,950.6664,0,0,0,397.9319,L,16.2,103.6109,7.3863,40.6624,0,6,5.2223,4.9,0.3009,0.1749,0.0787,0.0499,5408.9,110.6,55.8,22.1,12.2,105,0,0,0,0,0,23,10,4,2,2.2719,0.4542,0.1133,0.0318,0.0134,2425.7,336.6,70.3,17.7,6.3,2.0751,0.4285,0.0951,0.018,0.003,2293.3,360.2,80.4,16.3,2.8,1.134,1.6134,1.3572,0.7141,0.3333,0.1682,0.0799,0.039,0.0254,0.0175,0.0224,2629.6,1572.7,788.4,335.2,140,67.5,32.7,16,10.6,7,9.9,5609.4,0,0,0,0,0,287,156,51,13,0,256,137,53,23,76,76,L
Wooster,P,40,game,2.8179,P,213,P,26,508.9752,2,0,0,183.207,P,16.1,53.0524,3.722,20.0535,0,6,5.0263,2.3817,0.207,0.1082,0.0732,0.0477,5466.6,76.2,34.5,20.5,11.7,45,2,0,0,0,0,12,10,3,1,1.2087,0.1687,0.0449,0.0224,0.0134,1324.1,123.9,26.5,12,5.8,1.1089,0.2051,0.0374,0.0063,0.0021,3924.4,156.2,28.8,6.1,1.7,0.5545,0.8363,0.6091,0.3932,0.205,0.0919,0.0577,0.028,0.0192,0.0095,0.0135,4085.2,840.7,346.3,176.8,79.6,33.7,20.7,10.2,6.9,3.8,5.6,5609.4,0,0,0,0,0,97,49,17,9,0,87,35,19,18,37,37,P
Wooster,B ,17,game,1.4199,B ,164,B ,10,246.8657,1,0,0,126.6734,B ,14.5,26.7328,1.86,10.5304,0,5.3067,4.3245,0.2049,0.7054,0.4164,0.0932,0,4769.3,631.9,181.1,27.2,0,41,1,0,0,0,0,2,5,3,0,0.6111,0.1,0.0238,0.0071,0.0033,1449.6,81.6,14.5,4.5,2,0.5488,0.1095,0.0156,0.0007,0.0001,3935.1,107.1,14.1,0.9,0.1,0.2836,0.3826,0.3433,0.2013,0.1147,0.0532,0.0214,0.0117,0.0048,0.0013,0.0021,4873.3,367.3,197.2,92.6,45,19.1,7.7,4.1,1.8,0.5,0.9,5609.4,0,0,0,0,0,61,40,3,1,0,59,19,10,9,19,19,B 
Wooster,N,0,game,0.071,N,0,N,0,11.832,0,0,0,28.736,N,2.4,1.3372,0.0774,0,0,0,0,0.071,0,0,0,0,5609.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403,0.0014,0,0,0,836,3.7,0,0,0,0.0288,0.0005,0,0,0,4765.8,4,0,0,0,0.0708,0.0002,0,0,0,0,0,0,0,0,0,5609.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,N
Wooster,A,0,game,0.1662,A,0,A,0,24.309,0,0,0,89.3448,A,1.9,3.1285,0.1778,0,0,0,0,0.1657,0.0005,0,0,0,5608.9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929,0.0005,0,0,0,2522.8,1.6,0,0,0,0.0724,0.0003,0,0,0,3083.5,1.7,0,0,0,0.1662,0,0,0,0,0,0,0,0,0,0,5609.6,0,0,0,0,0,0,0,0,0,0,5609.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A
Wooster,S,90,game,5.9787,S,635,S,51,1119.3531,0,0,0,407.8359,S,16.9,112.5602,8.0668,44.9184,0,6,5.2889,4.9521,0.4275,0.2385,0.1974,0.1633,5281.9,156.9,76,54.9,39.8,274,0,0,0,0,0,27,17,3,4,2.2884,0.4757,0.1615,0.0437,0.0113,2297.2,326.7,89.5,21.7,5.3,2.4205,0.4568,0.0973,0.0207,0.0029,2458.7,321.5,70.4,16,2.5,1.0399,1.7386,1.3452,0.7931,0.4383,0.2777,0.1553,0.0839,0.0455,0.0264,0.0348,2376.2,1708.9,770.9,358.6,172.6,97,53.8,30.4,16.7,9.7,14.7,5609.6,0,0,0,0,0,240,135,42,14,0,230,140,54,22,76,76,S
