Session Title,Player Name,Minutes Played,Split Name,Tags,Player Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
Centre,O,45,game,game,O,3.105,O,398.4863,O,34,457.1309,0,0,0,222.8808,O,15.6786,57.8293,4.1643,20.4536,18,0.4095,1.5458,0.9234,0.222,0.0044,3714.1,1502.1,390.8,62.4,1,45,0,0,0,0,0,22,8,2,2,1.2263,0.2741,0.0683,0.021,0.007,1735.4,196.5,38.6,11.5,3.2,1.1643,0.2749,0.0593,0.0088,0.0011,3424.7,208.5,42.7,8.2,1.1,0.7096,0.7887,0.5912,0.4666,0.2301,0.1408,0.0786,0.0412,0.0308,0.018,0.0094,4122.9,783.8,346.4,206.3,92.1,52.7,28.6,15.6,11,7,4,5670.4,0,0,0,0,0,134,84,26,8,0,129,67,32,13,45,45,O
Centre,M,34,game,game,M,2.1197,M,248.5076,M,20,333.0497,1,0,0,153.2992,M,14.4657,39.2155,2.7584,13.7377,0,0.2928,1.1208,0.5649,0.1412,0,4329.2,1092.6,246,40.6,0,61,1,0,0,0,0,13,6,0,1,0.8137,0.156,0.054,0.0136,0.0049,1044.7,113.5,29.9,6.9,2.2,0.8833,0.1614,0.0288,0.0035,0.0004,4366.2,121.5,20.3,2.7,0.5,0.5209,0.5693,0.4366,0.2671,0.1531,0.0839,0.034,0.0269,0.013,0.0047,0.0103,4642.6,566.4,252.5,123.7,60.3,30.8,12,9.8,4.5,1.8,4,5708.2,0,0,0,0,0,94,41,11,1,0,80,51,20,6,26,26,M
Centre,V,45,game,game,V,2.9812,V,109.1248,V,17,527.5682,0,0,0,235.1809,V,14.9777,55.154,3.8477,21.8608,0,2.6707,0.1784,0.0701,0.0396,0.0224,5603.9,65.3,22.5,11.1,5.6,88,0,0,0,0,0,12,2,2,1,1.2492,0.2255,0.0476,0.0101,0.0027,1387.6,168.2,28.7,5.7,1.4,1.2018,0.1978,0.038,0.0075,0.0011,3908.8,168.2,32.2,6.6,1,0.6113,0.8861,0.7652,0.4087,0.1525,0.0784,0.0389,0.0184,0.0082,0.0049,0.0087,4098.6,851.4,441.7,189.3,64.1,31.3,15,7.5,3.5,1.9,4.1,5708.2,0,0,0,0,0,139,71,19,6,0,153,58,18,8,26,26,V
Centre,K ,90,game,game,K ,5.7231,K ,287.2651,K ,41,1026.284,0,0,0,388.9527,K ,16.7126,105.8794,7.3751,39.8111,0,5.0429,0.3164,0.2006,0.088,0.0752,5485.8,115.8,64,24.7,17.9,87,0,0,0,0,0,25,13,3,0,2.4489,0.3742,0.0947,0.0284,0.0081,2573.2,253.7,54.7,15.5,3.9,2.2558,0.4255,0.0776,0.0089,0.001,2440.2,300.4,58.2,7.5,0.9,1.18,1.7759,1.3471,0.6874,0.3494,0.1686,0.0948,0.0531,0.0318,0.0141,0.0209,2557.8,1766.8,774.7,320.4,142.9,66.1,35.1,19.2,11.9,5.3,8,5708.2,0,0,0,0,0,239,141,31,5,0,242,106,43,17,60,60,K 
Centre,A,0,game,game,A,0.1119,A,0,A,0,16.7076,0,0,0,66.529,A,4.4143,2.0709,0.1201,0.0718,0,0.099,0.0129,0,0,0,5692.9,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582,0.0016,0.0002,0,0,1845.6,2.7,0.3,0,0,0.0509,0.001,0,0,0,3856.4,3.3,0,0,0,0.1038,0.0081,0.0001,0,0,0,0,0,0,0,0,5699.4,8.8,0.1,0,0,0,0,0,0,0,0,5708.1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,A
Centre,N ,16,game,game,N ,1.2561,N ,87.5872,N ,15,262.9599,0,0,0,119.1117,N ,14.2271,23.2374,1.6908,7.871,0,1.0354,0.0975,0.0734,0.0371,0.0126,5635.5,35.8,23.4,10.4,3.2,63,0,0,0,0,0,10,4,1,0,0.4729,0.1124,0.0371,0.0118,0.0019,1231,78.2,21.2,6.5,1,0.4751,0.1132,0.0254,0.0051,0.0011,4258,87.7,19.4,4.4,0.9,0.3337,0.3075,0.219,0.1609,0.1015,0.0567,0.0307,0.0213,0.0102,0.0078,0.0068,5110.6,306.9,127.3,73.1,39.1,21.6,11.6,8.2,3.8,3.1,3,5708.1,0,0,0,0,0,49,30,14,4,0,50,28,17,4,21,21,N 
Centre,Q,56,game,game,Q,3.9512,Q,55.0556,Q,20,828.396,1,0,0,289.2512,Q,14.1177,73.0986,5.06,29.585,0,3.5732,0.2614,0.0853,0.0243,0.007,5575.8,96.6,27.3,6.8,1.8,81,1,0,0,0,0,11,8,1,0,1.6238,0.2682,0.0669,0.0191,0.0067,1892.4,192.4,43.4,11.5,3.3,1.6387,0.2807,0.0419,0.0052,0.0001,3302.3,220.5,37.1,5.3,0.1,0.6821,1.0563,1.1275,0.6995,0.2513,0.0816,0.0319,0.0111,0.006,0.0016,0.0024,3552.3,1035.2,629.1,324.3,108.7,35,14.1,4.8,2.8,0.9,1.1,5708.2,0,0,0,0,0,183,88,19,1,0,156,83,34,15,49,49,Q
Centre,B ,26,game,game,B ,2.2492,B ,291.5969,B ,20,393.1725,0,0,0,155.5344,B ,16.976,41.6113,2.911,16.9686,0,0.2171,1.1676,0.6989,0.1512,0.0144,4339.9,1015.3,306.1,43.8,3.1,34,0,0,0,0,0,8,6,5,1,0.9423,0.1684,0.0348,0.0079,0.0017,1067.9,116.1,19.3,4.2,1,0.9049,0.1621,0.0235,0.0036,0.0002,4351,127.9,17.5,3.1,0.2,0.3543,0.5775,0.6456,0.3211,0.1777,0.0761,0.0439,0.0207,0.0134,0.0105,0.0084,4525.1,537.7,371.6,147,67,26.4,14.9,7.2,4.8,3.4,3.1,5708.2,0,0,0,0,0,112,32,10,1,0,101,37,14,4,18,18,B 
Centre,I,29,game,game,I,2.1043,I,156.4584,I,23,303.953,0,0,0,157.4588,I,14.2469,39.267,2.7747,13.6659,0,1.6805,0.1954,0.1395,0.0652,0.0237,5518.3,71.6,44.2,18.4,6.1,104,1,0,0,0,0,11,6,4,2,0.8349,0.1575,0.0431,0.0134,0.0054,964.1,107.4,24.8,8,2.7,0.8604,0.156,0.0284,0.0044,0.0007,4404.9,119.8,22.2,4.1,0.6,0.4949,0.4314,0.4419,0.3369,0.2076,0.1069,0.0493,0.0185,0.009,0.005,0.0029,4686.9,420.2,253.7,148.4,77,38.6,19.2,7.1,3.7,2.4,1.4,5658.5,0,0,0,0,0,90,39,11,4,0,74,42,19,8,27,27,I
Centre,E,39,game,game,E,3.0023,E,81.0474,E,12,596.7952,0,0,0,241.3489,E,13.0141,55.5442,3.9409,23.2359,0,0.2942,1.7786,0.8834,0.046,0,3716.1,1592.1,386.2,14,0,185,0,0,0,0,0,8,3,0,1,1.1826,0.2709,0.0547,0.0148,0.0034,1368.4,204,36.4,8.7,1.9,1.1841,0.2434,0.0412,0.0061,0.0011,3842.4,202.5,36.7,6.4,1,0.5313,0.9009,0.7932,0.4671,0.1828,0.0662,0.0354,0.0121,0.006,0.0025,0.0049,4037.6,846.4,466.7,219.6,80.5,30.2,15.3,5.5,2.9,1.1,2.6,5708.2,0,0,0,0,0,185,89,21,5,0,163,73,21,10,31,31,E
