Session Title,Player Name,Minutes Played,Split Name,Tags,Distance (miles),Sprint Distance (yards),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
Kalamazoo,E,6,game,game,0.5703,38.0893,4,114.4695,0,0,0,52.9967,12.7059,10.4825,0.751,4.2016,0,0.0755,0.2624,0.2107,0.0216,0,5421.8,224.6,92.5,6.5,0,27,0,0,0,0,0,3,1,0,0,0.2289,0.0465,0.0119,0.005,0.0004,525.6,35.4,7,2.5,0.3,0.217,0.0519,0.0072,0.0013,0,5126.1,41,6.3,1.2,0,0.1043,0.1229,0.1549,0.1065,0.0464,0.0192,0.0084,0.005,0.0012,0.0006,0.001,5460.3,113.5,87.6,49.4,19.7,8.2,3.3,2.1,0.5,0.2,0.6,5745.2,0,0,0,0,0,32,17,4,1,0,33,10,3,3
Kalamazoo,Q,82,game,game,5.8848,62.1881,31,1243.2514,0,0,0,426.1364,14.5452,106.9778,7.4619,42.5569,0,5.2263,0.4452,0.178,0.0314,0.004,5578.3,163.9,57.3,8.9,1,169,0,0,0,0,0,14,13,4,0,2.4145,0.4243,0.1162,0.0313,0.0089,2427.4,302,73.5,18.9,4.9,2.3493,0.4697,0.0623,0.008,0.0001,2555.3,363,55.2,9.1,0.1,1.0481,1.6815,1.5444,0.9804,0.4011,0.1366,0.0559,0.0236,0.0072,0.0028,0.0032,2536.4,1663.1,884.6,451.3,173,60,24.4,10.6,3.3,1.4,1.3,5809.2,0,0,0,0,0,275,152,32,2,0,234,133,61,19
Kalamazoo,A,0,game,game,0.2366,0,0,36.2596,0,0,0,88.9424,9.9619,4.3008,0.256,0.1756,0,0.1979,0.0278,0.011,0,0,5770.4,34.3,4.6,0,0,1,0,0,0,0,0,0,0,0,0,0.1225,0.0054,0.0014,0,0,2428.9,8.6,1.1,0,0,0.1018,0.0055,0,0,0,3358.8,11.7,0.2,0,0,0.2147,0.0065,0.005,0.0072,0.0017,0.0004,0.0007,0.0003,0,0,0,5794.8,6.9,2.8,3.3,0.9,0.2,0.3,0.1,0,0,0,5809.3,0,0,0,0,0,3,0,0,0,0,1,2,0,0
Kalamazoo,O,50,game,game,3.8032,508.0004,34,566.1872,0,0,0,282.75,15.9669,69.137,5.0344,26.0733,0,0.4234,1.8917,1.1994,0.2757,0.0129,3415,1798.7,514.8,78,2.9,54,0,0,0,0,0,17,10,6,1,1.503,0.32,0.1038,0.0325,0.0112,2289.1,227.7,62.7,16.8,5.3,1.4079,0.324,0.0826,0.016,0.0022,2873.5,252.9,65.2,14,2.2,0.7269,1.0009,0.7819,0.6208,0.3,0.1611,0.0909,0.0562,0.0238,0.0161,0.0246,3822.8,990.5,452.4,281.9,120.1,60.3,34,20.6,9.5,6.7,10.6,5809.2,0,0,0,0,0,135,122,37,14,0,143,101,40,21
Kalamazoo,I,32,game,game,2.3955,270.0703,26,353.2861,0,0,0,181.6069,15.8575,43.5474,3.1413,15.7194,0,1.9473,0.1715,0.1233,0.0957,0.0578,5666.1,63.2,39,26.9,14.2,81,0,0,0,0,0,13,9,2,2,0.9264,0.2006,0.0612,0.0202,0.0036,1092.4,134.6,31.8,10.2,1.9,0.9233,0.2099,0.0433,0.0058,0.0011,4353,146.7,32.1,5.6,1.1,0.5255,0.5451,0.5204,0.325,0.2046,0.12,0.0825,0.0397,0.0174,0.0087,0.0066,4658.3,523.4,300.6,150.1,77.3,41.2,30.1,14.9,6.9,3.5,3.1,5809.2,0,0,0,0,0,104,64,18,6,0,97,49,27,8
Kalamazoo,R,8,game,game,0.7075,168.0813,9,123.3314,0,0,0,47.4755,17.8261,38.8492,2.795,13.8727,18,0.0785,0.3598,0.1737,0.0853,0.0102,1473.8,349.1,73.8,24.3,2.2,3,0,0,0,0,0,2,5,2,0,0.2692,0.0624,0.0166,0.0064,0.0009,330.2,40.6,10.1,4,0.5,0.2763,0.0621,0.0119,0.0011,0.0006,1482,46,8.3,1.1,0.4,0.1443,0.1861,0.1338,0.0812,0.0756,0.0337,0.0205,0.011,0.0097,0.0059,0.0055,1563.8,187.8,78,37.2,27.5,12.1,6.6,3.5,3,1.9,1.8,1923.2,0,0,0,0,0,31,13,2,2,0,26,9,9,4
Kalamazoo,N,6,game,game,0.7089,55.6866,9,144.9703,0,0,0,82.6968,15.9023,12.997,0.9237,4.5016,0,0.5586,0.082,0.0366,0.018,0.0136,5709.9,30.2,11.7,5.1,3.3,26,0,0,0,0,0,6,2,1,0,0.3023,0.0541,0.0145,0.0046,0.0003,1277.9,36.2,8,2.6,0.2,0.2647,0.0531,0.0134,0.0018,0.0001,4385.9,38.4,9.4,1.5,0.1,0.1724,0.1567,0.1308,0.1157,0.0605,0.0328,0.0146,0.0106,0.0074,0.0042,0.0032,5432.2,154.5,73.9,49.1,23.6,11.8,5.5,3.9,2.8,1.7,1.2,5760.2,0,0,0,0,0,23,15,3,3,0,24,13,7,1
Kalamazoo,X,0,game,game,0.1563,0,0,26.8301,0,0,0,90.0768,2.7191,2.8419,0.1631,0,0,0.1408,0.0156,0,0,0,5786.9,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822,0.0016,0,0,0,2539.5,3.8,0,0,0,0.0718,0.0008,0,0,0,3261.3,4.8,0,0,0,0.1542,0.0021,0,0,0,0,0,0,0,0,0,5806.5,2.9,0,0,0,0,0,0,0,0,0,5809.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalamazoo,G,31,game,game,2.3414,183.9146,25,392.531,0,0,0,199.5442,16.4044,43.2872,3.0915,16.5097,0,1.9588,0.1732,0.1049,0.045,0.0595,5588.2,63.6,33.3,12.6,14.7,38,0,0,0,0,0,16,5,4,0,0.9414,0.1798,0.056,0.0171,0.0053,2274.4,124.3,30.9,9.2,2.4,0.9025,0.1919,0.0404,0.0059,0.0011,3094.2,141.4,30,4.7,0.9,0.4887,0.6676,0.4747,0.3022,0.1882,0.0978,0.0479,0.0344,0.015,0.0095,0.0154,4490.8,654.7,273.9,136.1,76,36,18.2,12.2,5.1,3.3,6.1,5712.2,0,0,0,0,0,92,61,12,5,0,91,40,21,10
Kalamazoo,C,90,game,game,6.9106,136.9834,36,1217.9314,1,0,0,548.9705,16.2055,125.6261,8.8605,58.2212,0,6.1418,0.4736,0.2174,0.0562,0.0216,5544.4,174.5,69.4,15.9,5.2,539,1,0,0,0,0,21,10,2,3,2.8345,0.5247,0.1203,0.0328,0.0076,2467.5,350,72.5,17.8,3.8,2.7791,0.4939,0.0969,0.0191,0.0016,2444.7,359.5,75.4,16.2,2,0.7787,2.3669,1.9039,1.0522,0.4405,0.1758,0.0869,0.0468,0.0229,0.0134,0.0225,1672.9,2212.2,1097.7,485.9,184.4,73.7,36.9,19.4,10,6,10.3,5809.2,0,0,0,0,0,381,171,50,9,0,359,158,52,18
