Session Title,Player Name,Minutes Played,Split Name,Player Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration,Max Acceleration,Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Decel / Min G-7,Decel / Min G-7,Player Name
Ohio Northern,C ,83,game,C ,6.0575,C ,175.0301,C ,30,1060.5282,3,0,0,490.0688,C ,15.4698,112.9759,7.9165,50.6517,0,0,0,5.3912,0.3949,0.1719,0.0794,0.0201,5434.3,145.5,54.7,22.3,5,586,3,0,0,0,0,15,11,3,1,2.5439,0.4552,0.0846,0.0167,0.0041,2280.7,311.4,52.7,9.2,2.4,2.4247,0.4525,0.067,0.0075,0.0014,2609.4,334.6,52.9,7.4,1.1,0.7097,1.7931,1.8262,1.0125,0.3961,0.169,0.0771,0.0365,0.0214,0.0054,0.0105,2180.3,1687.8,1032.7,467,164.6,67.3,31.5,14.7,8.7,2.6,4.6,5662,0,0,0,0,0,340,143,25,5,0,318,128,29,13,42,42,C 
Ohio Northern,S,90,game,S,5.9055,S,265.9616,S,37,1080.2146,2,0,0,398.6235,S,15.5394,110.1417,7.7125,47.2157,0,0,0,5.2067,0.3687,0.179,0.1041,0.047,5428.9,135.5,56.9,29.1,11.7,247,2,0,0,0,0,21,12,4,0,2.3102,0.4403,0.126,0.0318,0.0087,2337.3,312.6,73.8,16.8,4.3,2.5039,0.3898,0.077,0.0158,0.002,2550.2,293.1,57.4,14.6,2,1.0024,2.118,1.33,0.7245,0.3482,0.1708,0.0899,0.055,0.0296,0.0173,0.0197,2207.1,2065.9,767.9,330.7,140.7,65.7,35,21.5,11.7,7.3,8.6,5661.9,0,0,0,0,0,255,104,47,9,0,235,125,54,20,74,74,S
Ohio Northern,A,13,game,A,1.2198,A,134.6989,A,12,222.9849,1,0,0,140.7809,A,14.5502,22.7498,1.6155,7.7003,0,0,0,0.2693,0.5666,0.3074,0.0765,0,4981.9,523.3,134.8,22.1,0,32,1,0,0,0,0,9,2,1,0,0.499,0.0963,0.0219,0.01,0.0032,2289.4,68.4,10.7,4.3,1.6,0.4711,0.0906,0.022,0.0047,0.0009,3202.7,64.3,16.1,3.9,0.7,0.3661,0.2727,0.2707,0.1379,0.0706,0.0344,0.024,0.0176,0.0124,0.0065,0.0067,5114.7,260.5,156.6,63.1,27.7,12.7,9.3,7.1,4.7,2.7,3,5661.9,0,0,0,0,0,44,29,8,4,0,56,18,6,6,12,12,A
Ohio Northern,Q,61,game,Q,4.3789,Q,15.0579,Q,19,906.1614,0,0,0,305.8928,Q,13.7946,81.6691,5.5802,33.1114,0,0,0,4.0044,0.2798,0.0861,0.007,0.0015,5528.4,103.5,27.8,2,0.4,89,0,0,0,0,0,14,3,2,0,1.8263,0.2781,0.0684,0.02,0.0043,1882.6,206.5,43.7,11.8,2.2,1.8671,0.2791,0.0327,0.0026,0.0003,3252.2,230.2,29.9,2.8,0.2,0.7541,1.3185,1.2402,0.7166,0.2418,0.0677,0.0221,0.0102,0.0037,0.0027,0.0013,3156.8,1320.1,702.8,331.3,104.1,29.3,9.6,4.6,1.7,1.1,0.7,5661.9,0,0,0,0,0,222,81,9,1,0,161,95,33,13,46,46,Q
Ohio Northern,Z,5,game,Z,0.5363,Z,2.4672,Z,4,86.9693,0,0,0,94.4097,Z,12.0497,10.003,0.7024,3.5782,0,0,0,0.4817,0.036,0.0173,0.0014,0,5643,13.2,5.5,0.4,0,13,0,0,0,0,0,2,1,1,0,0.1925,0.0482,0.0153,0.0055,0.0007,1857.2,37.9,9.8,3.4,0.4,0.222,0.0435,0.0078,0.0007,0.0001,3704.7,40.3,7.5,0.8,0.1,0.1684,0.1291,0.1107,0.0722,0.0304,0.0137,0.0063,0.0041,0.0012,0.0001,0.0002,5419.5,116.2,67.4,34.6,13.2,5.9,2.8,1.8,0.5,0.1,0.1,5661.9,0,0,0,0,0,37,19,2,1,0,26,13,10,4,14,14,Z
Ohio Northern,I,14,game,I,1.1825,I,103.4708,I,11,171.6755,0,0,0,90.9589,I,15.5096,22.0536,1.5662,8.4651,0,0,0,0.9845,0.0736,0.0655,0.0396,0.0192,5598.6,26.9,20.7,11.2,4.7,19,0,0,0,0,0,4,4,2,1,0.4618,0.0918,0.0261,0.01,0.004,614.4,64.5,15.1,5.3,1.8,0.4738,0.0966,0.0161,0.0021,0.0002,4871.3,73.5,14,2,0.2,0.244,0.2929,0.2871,0.1482,0.0968,0.059,0.0258,0.0158,0.0094,0.0022,0.0012,5075.4,273.1,166.2,68.9,37.2,20.9,9.2,6,3.6,0.9,0.7,5661.9,0,0,0,0,0,51,33,4,2,0,37,26,13,6,19,19,I
Ohio Northern,O,48,game,O,2.3563,O,362.0221,O,23,345.1604,0,0,0,168.5406,O,16.469,43.946,3.1489,16.3102,0,0,0,0.2611,1.2625,0.627,0.1889,0.0168,4116,1220.7,267.6,54.1,3.7,36,0,0,0,0,0,11,8,2,2,0.953,0.1885,0.0547,0.0189,0.0031,1437.3,136,32.6,10.3,1.4,0.9011,0.1833,0.0439,0.0085,0.0014,3860.3,141.3,33.2,8.2,1.5,0.473,0.7002,0.4468,0.3151,0.1859,0.0992,0.0607,0.034,0.0174,0.0097,0.0142,4400.4,698.8,262.8,143.2,70.9,35.9,21.4,12.3,7.1,3.6,5.7,5661.9,0,0,0,0,0,94,56,24,6,0,111,42,25,8,33,33,O
Ohio Northern,P,80,game,P,5.0334,P,162.0358,P,39,887.803,0,0,0,303.1586,P,15.0821,93.8771,6.432,34.4525,0,0,0,4.5035,0.2722,0.1657,0.0691,0.023,5484,100,52.8,19.4,5.8,71,0,0,0,0,0,28,10,1,0,2.1961,0.2869,0.0725,0.0286,0.0125,2382.9,198.2,41,13.9,5.8,2.064,0.2944,0.0653,0.0122,0.001,2751.7,209.6,46.2,11.7,1,1.1804,1.7239,1.0108,0.5549,0.2793,0.1327,0.067,0.0361,0.0208,0.0148,0.0129,2857.2,1747.2,576.6,252.7,112.8,53,27.9,14.6,8,6.2,5.8,5661.9,0,0,0,0,0,171,72,38,5,0,151,70,33,21,54,54,P
Ohio Northern,X,45,game,X,1.6751,X,8.47,X,2,335.9957,1,0,0,151.2362,X,11.7117,31.2425,2.0953,6.6053,0,0,0,0.6111,0.8248,0.2345,0.0048,0,4658.2,898,104.4,1.5,0,33,1,0,0,0,0,2,0,0,0,0.7495,0.1054,0.021,0.0072,0.0027,2465.2,99.5,15.9,5.1,1.4,0.6738,0.088,0.0218,0.005,0.0008,2944.8,103.2,21.4,4.7,0.9,0.9397,0.2996,0.2337,0.1199,0.0417,0.018,0.0102,0.0044,0.0028,0.0031,0.002,5120.9,300.9,141.1,57.5,20.8,8.6,5.6,2.2,1.8,1.6,1.1,5661.9,0,0,0,0,0,56,28,18,2,0,40,37,15,6,21,21,X
Ohio Northern,R ,19,game,R ,1.4069,R ,187.0762,R ,15,242.6582,0,0,0,105.6005,R ,15.5394,26.2399,1.8679,9.9716,0,0,0,0.1516,0.6707,0.4784,0.1049,0.0014,4806.8,621.5,203.6,29.9,0.3,25,0,0,0,0,0,6,9,0,0,0.5799,0.1066,0.0315,0.0081,0.0016,911.4,73.4,18.5,4.4,0.8,0.5417,0.1139,0.0201,0.0032,0.0004,4548.3,86.5,15.5,2.9,0.4,0.2531,0.3459,0.314,0.2532,0.116,0.0591,0.0253,0.0193,0.009,0.0046,0.0075,4943,337.8,179.7,110.7,45.2,21.2,9.3,6.9,3.5,1.7,3.1,5661.9,0,0,0,0,0,55,34,6,3,0,52,29,17,3,20,20,R 
