Session Title,Player Name,Minutes Played,Split Name,Tags,Distance (miles),Sprint Distance (yards),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
Transylvania,K,90,game,game,5.6603,220.6938,45,1031.8234,0,0,0,398.6773,15.3505,107.3322,7.6007,42.5108,0,5.0078,0.3406,0.1865,0.1056,0.0198,5349.1,125.6,59.4,29.6,5,91,0,0,0,0,0,27,16,2,0,2.3518,0.4305,0.1096,0.0346,0.0051,2428.2,296.2,66.4,18,2.3,2.1734,0.4495,0.0932,0.0121,0.0005,2346.4,327.5,71.4,11.7,0.6,1.0781,1.5935,1.468,0.7726,0.3809,0.172,0.0916,0.0539,0.0248,0.0113,0.0137,2518.9,1536.4,843.7,359.6,157.5,71.4,38.1,22.6,9.9,4.8,5.8,5568.5,0,0,0,0,0,262,161,43,4,0,255,133,56,10
Transylvania,C,90,game,game,6.849,104.5272,36,1213.9651,1,0,0,552.2192,14.2271,129.8713,9.2134,59.8775,0,6.0427,0.5501,0.1968,0.0516,0.0078,5285.8,203.2,63,14.7,2,576,1,0,0,0,0,21,13,2,0,2.7163,0.5552,0.1289,0.0332,0.0088,2290.3,373.6,78.7,19,4.7,2.7546,0.5552,0.0845,0.0115,0.0008,2318.1,403.7,68.7,11.2,0.7,0.7154,1.9897,2.05,1.2516,0.4913,0.1951,0.077,0.039,0.0196,0.01,0.0104,1631.8,1835.7,1164.3,576.4,210.4,82.9,33.4,16.4,8.3,4.5,4.6,5568.5,0,0,0,0,0,380,193,45,5,0,339,163,56,19
Transylvania,X,0,game,game,0.1311,0,0,22.7642,0,0,0,77.8185,3.2411,2.4856,0.1443,0.0072,0,0.1217,0.0093,0,0,0,5555.5,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686,0.0028,0.0001,0,0,2147.5,7.2,0.2,0,0,0.0584,0.0011,0,0,0,3405.2,8.2,0.3,0,0,0.1285,0.0026,0,0,0,0,0,0,0,0,0,5565.2,3.4,0,0,0,0,0,0,0,0,0,5568.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transylvania,V,90,game,game,6.155,145.016,38,1100.9492,0,0,0,494.2685,14.6794,116.7115,8.2311,51.3091,0,5.5875,0.3283,0.1568,0.0646,0.0178,5375,120.8,50,18.3,4.5,283,0,0,0,0,0,26,9,2,1,2.5844,0.4929,0.0915,0.0248,0.0071,2360.5,362.7,58.6,14.2,3.7,2.4012,0.4457,0.0878,0.0171,0.0025,2313.6,366.5,70.8,15.7,2.3,0.9676,1.9403,1.8366,0.8032,0.3202,0.1337,0.0608,0.0418,0.0187,0.0151,0.0171,2068,1791,1071.5,379.5,134.5,57.3,26.1,17.2,7.9,6.9,8.7,5568.6,0,0,0,0,0,348,152,43,14,0,316,156,40,20
Transylvania,P,90,game,game,5.3944,244.5465,42,964.0471,1,0,0,341.9017,16.0763,102.2898,7.1014,36.2293,0,4.7492,0.3524,0.1539,0.0845,0.0545,5352.5,129.8,49.2,23.7,13.5,123,1,0,0,0,0,27,12,2,1,2.2986,0.3226,0.0946,0.0345,0.0129,2477.1,225.4,52.7,18.1,5.9,2.192,0.3491,0.0708,0.0167,0.0027,2469.1,250,53.1,15,2.3,1.3384,1.6089,1.1108,0.681,0.3021,0.172,0.0722,0.0512,0.0263,0.0145,0.0171,2758.2,1598.8,639.5,309.9,123.3,66.1,28.5,19.6,10.8,6.3,7.7,5568.5,0,0,0,0,0,202,99,42,9,0,181,91,46,24
Transylvania,F,90,game,game,3.1278,0,1,562.2076,1,0,0,202.8842,11.0009,59.3088,3.8578,14.1454,0,3.1198,0.0051,0.0028,0,0,5565.8,1.9,0.9,0,0,21,0,0,0,0,0,1,0,0,0,1.5192,0.1298,0.0235,0.009,0.0045,2690.9,145.9,18.7,6.3,2.5,1.2871,0.1278,0.0205,0.005,0.0013,2494.2,179.6,23.9,5.3,1.3,1.558,1.0789,0.3637,0.0817,0.0241,0.0079,0.0039,0.0025,0.0028,0.0016,0.0025,4143.8,1117.3,231.9,48.1,14.4,4.9,2.4,1.6,1.8,0.9,1.5,5568.6,0,0,0,0,0,140,48,12,6,0,118,35,19,9
Transylvania,B,17,game,game,1.4799,235.9289,12,260.7942,0,0,0,117.1131,15.0224,28.0623,1.9793,10.4227,0,0.2045,0.7471,0.3943,0.1336,0.0004,4666.5,693.5,171.3,37.2,0.1,24,0,0,0,0,0,6,3,1,2,0.601,0.1108,0.0272,0.0117,0.0043,1126,84.7,16.7,6.4,2.1,0.5947,0.1058,0.0201,0.0038,0.0006,4220,91.8,16.9,3.5,0.5,0.3294,0.3718,0.3235,0.1943,0.1126,0.084,0.0312,0.0158,0.0074,0.0046,0.0053,4836.9,358.6,189.2,89,43.3,27.5,11.3,5.6,2.9,1.9,2.4,5568.5,0,0,0,0,0,61,37,8,5,0,42,28,10,10
Transylvania,S,90,game,game,6.0658,295.9429,41,1125.9078,1,0,0,423.5387,16.5485,115.0212,8.1736,48.3793,0,5.2465,0.4562,0.1949,0.0878,0.0804,5294.9,167.9,62.3,24.6,19,278,1,0,0,0,0,26,11,2,2,2.2811,0.484,0.1587,0.0407,0.0104,2217.3,337,92.5,21.8,5.3,2.5101,0.4814,0.0863,0.0116,0.0015,2466.1,348.2,67.2,11.5,1.8,0.9719,1.8576,1.4681,0.9045,0.4071,0.2148,0.1214,0.0631,0.0313,0.0133,0.0127,2153.9,1814.7,840.6,410.6,171.9,84.7,45.4,24.1,12.1,5.2,5.5,5568.5,0,0,0,0,0,281,152,37,10,0,227,156,60,25
Transylvania,Z,0,game,game,0.1491,0,0,20.2922,0,0,0,45.5937,3.8575,2.8285,0.1666,0.0988,0,0.1491,0,0,0,0,5568.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0816,0.0023,0.0003,0,0,1282.3,4.8,0.4,0,0,0.064,0.0009,0,0,0,4275.5,5.5,0,0,0,0.1365,0.0127,0,0,0,0,0,0,0,0,0,5554.1,14.4,0,0,0,0,0,0,0,0,0,5568.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Transylvania,I,15,game,game,1.1645,113.5976,12,171.7111,0,0,0,82.6229,15.1715,22.0812,1.5928,8.0001,0,0.9341,0.0909,0.075,0.0415,0.0231,5494.1,33.5,23.7,11.6,5.8,19,0,0,0,0,0,6,3,2,1,0.4664,0.0976,0.0266,0.0087,0.0032,542.9,64.7,15,4.7,1.6,0.4317,0.105,0.0222,0.0031,0,4839.7,80,16.7,3.4,0,0.2631,0.2773,0.2257,0.1619,0.107,0.0676,0.0315,0.0196,0.0066,0.003,0.0011,5010.7,262.2,133.9,72.6,40.1,24.5,12.4,7.4,3,1.3,0.6,5568.5,0,0,0,0,0,48,32,9,1,0,44,24,6,9
Transylvania,J,22,game,game,1.6793,75.9436,14,324.3159,1,0,0,117.3635,14.6595,31.8439,2.2254,14.1256,0,1.4591,0.1246,0.0525,0.0316,0.0115,5494.2,45.9,16.8,8.8,2.9,19,1,0,0,0,0,10,3,1,0,0.6752,0.1222,0.0344,0.0095,0.0022,1020.2,91.3,21.5,5.1,1.2,0.6922,0.117,0.0203,0.0049,0.0013,4319.9,87.7,15.8,4.5,1.4,0.26,0.683,0.2907,0.2266,0.1056,0.0557,0.0199,0.0173,0.0104,0.0054,0.0048,4546.3,668.3,165.7,100.4,43.1,21.2,8,6.8,3.9,2.3,2.6,0,0,0,0,0,0,58,31,8,8,0,56,39,14,5
Transylvania,O,35,game,game,2.7109,306.7499,28,406.7308,1,0,0,201.5809,14.5452,51.4043,3.7729,19.9813,0,0.272,1.2525,1.0122,0.1743,0,3927.7,1161.3,427.8,51.9,0,29,1,0,0,0,0,13,7,5,3,1.0618,0.25,0.07,0.0189,0.0083,1630.8,177.7,40,10.9,4.2,0.987,0.2366,0.0656,0.011,0.0017,3462.3,178.9,51.4,10.8,1.7,0.4361,0.6744,0.5773,0.4945,0.274,0.121,0.0637,0.0351,0.0189,0.0074,0.0085,4142.6,667,328.3,216.7,107.5,48.2,26.9,15,8.6,3.8,4.1,5568.5,0,0,0,0,0,111,91,32,10,0,128,70,32,13
Transylvania,Q,82,game,game,6.0817,25.024,23,1285.2399,1,0,0,443.9016,12.9843,115.3217,8.0473,50.1194,0,5.5559,0.4079,0.1037,0.0142,0,5380.3,151,33.3,4.1,0,167,1,0,0,0,0,11,10,2,0,2.4746,0.433,0.11,0.0348,0.0079,2228.2,311,70.3,19.5,4.1,2.5009,0.4461,0.0667,0.0072,0.0004,2516.7,354.7,57.2,6.6,0.4,0.7896,1.6222,2.0394,1.1039,0.349,0.1029,0.0425,0.0157,0.0072,0.005,0.0041,2101.2,1560.4,1153.6,516.7,154,47.3,19.9,7.8,3.6,2.2,2,5568.5,0,0,0,0,0,336,137,26,3,0,263,152,53,19
